s,m,m,m,m,m,m,m,m,m,m,m,m,m,m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"SD.000","SD.001","SD.002","SD.003","SD.004","SD.005","SD.006","SD.007","SD.008","SD.009","SD.010","SD.011","SD.012","SD.013","TD.000","TD.001","TD.002","TD.003","TD.004","TD.005","TD.006","TD.007","TD.008","TD.009","TD.010","TD.011","TD.012","TD.013","TD.014"
 1.3502007E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.7463724E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1161949E+002, 2.1444911E+001, 2.0717955E+001, 2.0717878E+001, 2.0720294E+001, 2.0706203E+001, 2.0713204E+001, 2.0718095E+001, 2.0717568E+001, 2.0718045E+001, 2.0720210E+001, 2.0718866E+001, 2.1550300E+001, 2.0597359E+001
 1.3561687E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.0235165E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0755845E+002, 2.1578005E+001, 2.0724126E+001, 2.0723996E+001, 2.0726517E+001, 2.0711223E+001, 2.0717535E+001, 2.0724225E+001, 2.0723726E+001, 2.0724017E+001, 2.0726384E+001, 2.0724941E+001, 2.1620915E+001, 2.0611140E+001
 1.3621368E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.1669348E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0337581E+002, 2.1765513E+001, 2.0730316E+001, 2.0730129E+001, 2.0732729E+001, 2.0715037E+001, 2.0721736E+001, 2.0730367E+001, 2.0729892E+001, 2.0730028E+001, 2.0732573E+001, 2.0731018E+001, 2.1691792E+001, 2.0623612E+001
 1.3682540E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.1533237E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0897729E+002, 2.1983273E+001, 2.0736418E+001, 2.0736168E+001, 2.0738848E+001, 2.0716746E+001, 2.0725197E+001, 2.0736414E+001, 2.0735955E+001, 2.0735977E+001, 2.0738671E+001, 2.0736991E+001, 2.1765228E+001, 2.0633198E+001
 1.3744085E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.9967771E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1065452E+002, 2.2203181E+001, 2.0742823E+001, 2.0742505E+001, 2.0745266E+001, 2.0716595E+001, 2.0728383E+001, 2.0742753E+001, 2.0742305E+001, 2.0742248E+001, 2.0745066E+001, 2.0743247E+001, 2.1840009E+001, 2.0642027E+001
 1.3802311E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.4024890E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1015923E+002, 2.2325541E+001, 2.0748982E+001, 2.0748597E+001, 2.0751409E+001, 2.0715940E+001, 2.0731536E+001, 2.0748840E+001, 2.0748396E+001, 2.0748296E+001, 2.0751209E+001, 2.0749248E+001, 2.1911991E+001, 2.0651109E+001
 1.3861677E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 6.4026306E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 9.0757490E+001, 2.2247687E+001, 2.0754934E+001, 2.0754478E+001, 2.0757160E+001, 2.0721297E+001, 2.0735591E+001, 2.0754715E+001, 2.0754273E+001, 2.0754144E+001, 2.0757142E+001, 2.0755032E+001, 2.1975854E+001, 2.0661452E+001
 1.3921791E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 6.1741458E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 8.7123718E+001, 2.2018158E+001, 2.0760695E+001, 2.0760161E+001, 2.0762189E+001, 2.0730818E+001, 2.0740410E+001, 2.0760391E+001, 2.0759952E+001, 2.0759803E+001, 2.0762876E+001, 2.0760605E+001, 2.2024566E+001, 2.0673177E+001
 1.3982820E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.4641866E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 9.6429737E+001, 2.1808060E+001, 2.0766610E+001, 2.0765993E+001, 2.0766572E+001, 2.0739054E+001, 2.0746060E+001, 2.0766209E+001, 2.0765778E+001, 2.0765617E+001, 2.0768757E+001, 2.0766303E+001, 2.2061001E+001, 2.0685256E+001
 1.4043150E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.0540843E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0549720E+002, 2.1718992E+001, 2.0772244E+001, 2.0771537E+001, 2.0770209E+001, 2.0741232E+001, 2.0751763E+001, 2.0771729E+001, 2.0771309E+001, 2.0771152E+001, 2.0774348E+001, 2.0771688E+001, 2.2080532E+001, 2.0699038E+001
 1.4100691E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.4136259E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0985410E+002, 2.1716935E+001, 2.0777861E+001, 2.0777061E+001, 2.0773793E+001, 2.0739956E+001, 2.0758407E+001, 2.0777214E+001, 2.0776817E+001, 2.0776676E+001, 2.0779917E+001, 2.0777033E+001, 2.2053940E+001, 2.0714972E+001
 1.4162067E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.5282687E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.2371110E+002, 2.1785882E+001, 2.0783468E+001, 2.0782564E+001, 2.0777385E+001, 2.0738219E+001, 2.0767607E+001, 2.0782668E+001, 2.0782294E+001, 2.0782191E+001, 2.0785467E+001, 2.0782333E+001, 2.1966868E+001, 2.0728586E+001
 1.4222933E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.4984631E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0264835E+002, 2.1915096E+001, 2.0789019E+001, 2.0787987E+001, 2.0781059E+001, 2.0737664E+001, 2.0778695E+001, 2.0788031E+001, 2.0787685E+001, 2.0787636E+001, 2.0790938E+001, 2.0787522E+001, 2.1836084E+001, 2.0739069E+001
 1.4280788E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.9106553E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 9.8022665E+001, 2.2064187E+001, 2.0794338E+001, 2.0793144E+001, 2.0784849E+001, 2.0740510E+001, 2.0786980E+001, 2.0793122E+001, 2.0792819E+001, 2.0792827E+001, 2.0796146E+001, 2.0792435E+001, 2.1684052E+001, 2.0746310E+001
 1.4343330E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.5847065E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 9.8191402E+001, 2.2218638E+001, 2.0799748E+001, 2.0798337E+001, 2.0788882E+001, 2.0740144E+001, 2.0791962E+001, 2.0798244E+001, 2.0797995E+001, 2.0798067E+001, 2.0801395E+001, 2.0797361E+001, 2.1525256E+001, 2.0748045E+001
 1.4403679E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.6442015E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1124956E+002, 2.2324634E+001, 2.0805579E+001, 2.0803877E+001, 2.0793570E+001, 2.0736380E+001, 2.0795637E+001, 2.0803715E+001, 2.0803528E+001, 2.0803668E+001, 2.0806998E+001, 2.0802609E+001, 2.1382433E+001, 2.0746454E+001
 1.4461404E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.4598947E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 9.9728267E+001, 2.2325858E+001, 2.0811291E+001, 2.0809230E+001, 2.0798449E+001, 2.0737638E+001, 2.0799103E+001, 2.0809008E+001, 2.0808884E+001, 2.0809085E+001, 2.0812417E+001, 2.0807654E+001, 2.1274180E+001, 2.0750280E+001
 1.4522367E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.9910946E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 8.8329100E+001, 2.2267443E+001, 2.0816938E+001, 2.0814442E+001, 2.0803310E+001, 2.0739931E+001, 2.0801624E+001, 2.0814169E+001, 2.0814105E+001, 2.0814362E+001, 2.0817702E+001, 2.0812545E+001, 2.1195277E+001, 2.0759111E+001
 1.4583329E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 6.0317137E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 8.9102150E+001, 2.2194227E+001, 2.0823104E+001, 2.0820078E+001, 2.0808638E+001, 2.0737924E+001, 2.0804074E+001, 2.0819766E+001, 2.0819754E+001, 2.0820065E+001, 2.0823423E+001, 2.0817853E+001, 2.1141262E+001, 2.0769862E+001
 1.4640706E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 6.3534219E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 8.8703355E+001, 2.2178034E+001, 2.0829057E+001, 2.0825436E+001, 2.0813600E+001, 2.0730997E+001, 2.0809782E+001, 2.0825094E+001, 2.0825127E+001, 2.0825484E+001, 2.0828867E+001, 2.0822891E+001, 2.1109401E+001, 2.0779734E+001
 1.4702085E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.7642177E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 8.9735203E+001, 2.2179841E+001, 2.0835131E+001, 2.0830844E+001, 2.0818453E+001, 2.0720949E+001, 2.0817522E+001, 2.0830483E+001, 2.0830555E+001, 2.0830951E+001, 2.0834366E+001, 2.0827978E+001, 2.1093714E+001, 2.0788241E+001
 1.4762823E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.9837296E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0350693E+002, 2.2138304E+001, 2.0841384E+001, 2.0836351E+001, 2.0822778E+001, 2.0711793E+001, 2.0823519E+001, 2.0835982E+001, 2.0836090E+001, 2.0836520E+001, 2.0839971E+001, 2.0833117E+001, 2.1091788E+001, 2.0794930E+001
 1.4820752E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.5772395E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1127941E+002, 2.2045694E+001, 2.0847252E+001, 2.0841434E+001, 2.0825775E+001, 2.0711598E+001, 2.0827446E+001, 2.0841077E+001, 2.0841214E+001, 2.0841668E+001, 2.0845162E+001, 2.0837703E+001, 2.1099030E+001, 2.0797820E+001
 1.4882543E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.9956657E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.2199055E+002, 2.1960102E+001, 2.0853304E+001, 2.0846573E+001, 2.0828083E+001, 2.0721518E+001, 2.0830871E+001, 2.0846235E+001, 2.0846399E+001, 2.0846866E+001, 2.0850418E+001, 2.0842167E+001, 2.1112682E+001, 2.0796576E+001
 1.4940472E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.2036492E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.2624366E+002, 2.1940357E+001, 2.0860043E+001, 2.0851549E+001, 2.0829716E+001, 2.0737887E+001, 2.0834519E+001, 2.0851236E+001, 2.0851429E+001, 2.0851895E+001, 2.0855522E+001, 2.0846354E+001, 2.1132979E+001, 2.0795481E+001
 1.5002263E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.2832491E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.2063823E+002, 2.2017802E+001, 2.0872925E+001, 2.0856464E+001, 2.0831404E+001, 2.0758789E+001, 2.0839017E+001, 2.0856188E+001, 2.0856405E+001, 2.0856859E+001, 2.0860577E+001, 2.0850491E+001, 2.1166308E+001, 2.0800750E+001
 1.5060192E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.8477002E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1508414E+002, 2.2113273E+001, 2.0992302E+001, 2.0861328E+001, 2.0832019E+001, 2.0777150E+001, 2.0843126E+001, 2.0861104E+001, 2.0861344E+001, 2.0861774E+001, 2.0865598E+001, 2.0854729E+001, 2.1247955E+001, 2.0811279E+001
 1.5121982E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.7085727E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 9.4871198E+001, 2.2079991E+001, 2.1404403E+001, 2.0866355E+001, 2.0832578E+001, 2.0786335E+001, 2.0844958E+001, 2.0866204E+001, 2.0866456E+001, 2.0866852E+001, 2.0870792E+001, 2.0859300E+001, 2.1392616E+001, 2.0821876E+001
 1.5183773E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.1689433E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 9.2964490E+001, 2.1938882E+001, 2.1939312E+001, 2.0871507E+001, 2.0834027E+001, 2.0790708E+001, 2.0847430E+001, 2.0871444E+001, 2.0871701E+001, 2.0872056E+001, 2.0876126E+001, 2.0864075E+001, 2.1591914E+001, 2.0830309E+001
 1.5241702E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.5039642E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1017584E+002, 2.1858671E+001, 2.2443843E+001, 2.0876497E+001, 2.0835897E+001, 2.0795477E+001, 2.0850963E+001, 2.0876516E+001, 2.0876782E+001, 2.0877095E+001, 2.0881294E+001, 2.0868815E+001, 2.1807805E+001, 2.0835056E+001
 1.5303493E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.5976332E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1295939E+002, 2.1826343E+001, 2.2845303E+001, 2.0881434E+001, 2.0838028E+001, 2.0802653E+001, 2.0856129E+001, 2.0881515E+001, 2.0881803E+001, 2.0882069E+001, 2.0886401E+001, 2.0873598E+001, 2.2007197E+001, 2.0835236E+001
 1.5361422E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.7271109E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0571773E+002, 2.1840481E+001, 2.3135602E+001, 2.0886146E+001, 2.0840638E+001, 2.0810170E+001, 2.0862626E+001, 2.0886256E+001, 2.0886585E+001, 2.0886800E+001, 2.0891267E+001, 2.0878182E+001, 2.2141443E+001, 2.0828977E+001
 1.5423213E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.1763177E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1337815E+002, 2.1891508E+001, 2.3330863E+001, 2.0890927E+001, 2.0843831E+001, 2.0811367E+001, 2.0868220E+001, 2.0891031E+001, 2.0891414E+001, 2.0891581E+001, 2.0896182E+001, 2.0882843E+001, 2.2183234E+001, 2.0818890E+001
 1.5481142E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.8831205E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.3396633E+002, 2.1922061E+001, 2.3467936E+001, 2.0895711E+001, 2.0846990E+001, 2.0809993E+001, 2.0872637E+001, 2.0895774E+001, 2.0896225E+001, 2.0896345E+001, 2.0901076E+001, 2.0887485E+001, 2.2145541E+001, 2.0814658E+001
 1.5542933E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.5956232E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0889357E+002, 2.1957089E+001, 2.3563879E+001, 2.0900423E+001, 2.0849781E+001, 2.0810969E+001, 2.0876776E+001, 2.0900412E+001, 2.0900944E+001, 2.0901021E+001, 2.0905878E+001, 2.0892050E+001, 2.2078040E+001, 2.0816223E+001
 1.5603373E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.7814865E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0147866E+002, 2.2027624E+001, 2.3617331E+001, 2.0905229E+001, 2.0853246E+001, 2.0810519E+001, 2.0880373E+001, 2.0905105E+001, 2.0905731E+001, 2.0905772E+001, 2.0910751E+001, 2.0896688E+001, 2.2015780E+001, 2.0805026E+001
 1.5660340E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.8673944E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0614850E+002, 2.2170045E+001, 2.3629213E+001, 2.0909838E+001, 2.0857060E+001, 2.0800943E+001, 2.0882661E+001, 2.0909564E+001, 2.0910286E+001, 2.0910297E+001, 2.0915389E+001, 2.0901122E+001, 2.1966025E+001, 2.0788626E+001
 1.5724143E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.8222539E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0617691E+002, 2.2387294E+001, 2.3608388E+001, 2.0914614E+001, 2.0861817E+001, 2.0789390E+001, 2.0880844E+001, 2.0914134E+001, 2.0914957E+001, 2.0914944E+001, 2.0920148E+001, 2.0905699E+001, 2.1922013E+001, 2.0780120E+001
 1.5783604E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.7216800E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0811031E+002, 2.2539264E+001, 2.3563384E+001, 2.0919444E+001, 2.0868617E+001, 2.0786498E+001, 2.0877206E+001, 2.0918697E+001, 2.0919624E+001, 2.0919593E+001, 2.0924907E+001, 2.0910291E+001, 2.1893617E+001, 2.0778254E+001
 1.5840319E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.2575984E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.1948486E+002, 2.2523940E+001, 2.3518692E+001, 2.0923898E+001, 2.0876546E+001, 2.0793628E+001, 2.0879321E+001, 2.0922859E+001, 2.0923881E+001, 2.0923840E+001, 2.0929252E+001, 2.0914494E+001, 2.1888955E+001, 2.0780535E+001
 1.5900090E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.4848977E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.2266360E+002, 2.2409225E+001, 2.3472846E+001, 2.0928432E+001, 2.0884369E+001, 2.0817436E+001, 2.0883524E+001, 2.0927070E+001, 2.0928179E+001, 2.0928134E+001, 2.0933639E+001, 2.0918757E+001, 2.1892316E+001, 2.0783367E+001
 1.5963272E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 5.3999247E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 9.8050456E+001, 2.2262286E+001, 2.3432815E+001, 2.0933269E+001, 2.0891613E+001, 2.0840517E+001, 2.0886903E+001, 2.0931536E+001, 2.0932732E+001, 2.0932687E+001, 2.0938286E+001, 2.0923314E+001, 2.1896427E+001, 2.0784599E+001
 1.6023589E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.8488199E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.0170209E+002, 2.2124348E+001, 2.3429956E+001, 2.0937991E+001, 2.0899055E+001, 2.0850584E+001, 2.0889185E+001, 2.0935900E+001, 2.0937174E+001, 2.0937135E+001, 2.0942822E+001, 2.0927805E+001, 2.1904179E+001, 2.0781730E+001
 1.6081790E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.0151362E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.2300064E+002, 2.2022248E+001, 2.3465978E+001, 2.0942511E+001, 2.0906121E+001, 2.0851230E+001, 2.0893802E+001, 2.0940136E+001, 2.0941478E+001, 2.0941447E+001, 2.0947217E+001, 2.0932191E+001, 2.1917313E+001, 2.0770551E+001
 1.6143871E+002, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 4.1612654E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 2.0000000E+001, 1.2407377E+002, 2.1975899E+001, 2.3507445E+001, 2.0946959E+001, 2.0912076E+001, 2.0853758E+001, 2.0899431E+001, 2.0944398E+001, 2.0945793E+001, 2.0945774E+001, 2.0951623E+001, 2.0936712E+001, 2.1934665E+001, 2.0757523E+001
